"","duration","sdate","sstation","edate","estation","bikeno","client"
"326477","0h 18m 35s",2014-11-04 14:58:00,"3rd & G St SE",2014-11-04 15:16:00,"4th & M St SW","W00622","Registered"
"404097","0h 12m 29s",2014-11-13 08:23:00,"5th St & Massachusetts Ave NW",2014-11-13 08:36:00,"18th St & Pennsylvania Ave NW","W20120","Registered"
"26261","0h 40m 37s",2014-10-03 11:32:00,"17th & Corcoran St NW",2014-10-03 12:12:00,"Constitution Ave & 2nd St NW/DOL","W21624","Casual"
"31744","0h 4m 42s",2014-10-03 18:45:00,"21st & I St NW",2014-10-03 18:50:00,"17th & K St NW","W20623","Registered"
"182899","0h 20m 14s",2014-10-19 15:49:00,"M St & Pennsylvania Ave NW",2014-10-19 16:09:00,"17th & K St NW","W21483","Casual"
"106732","0h 9m 56s",2014-10-11 13:11:00,"New York Ave & 15th St NW",2014-10-11 13:21:00,"17th St & Massachusetts Ave NW","W00924","Casual"
"452915","0h 7m 52s",2014-11-21 10:54:00,"Columbia Pike & S Courthouse Rd",2014-11-21 11:02:00,"S Joyce & Army Navy Dr","W21599","Registered"
"19535","0h 18m 37s",2014-10-02 18:35:00,"Hamlin & 7th St NE",2014-10-02 18:53:00,"Georgia Ave and Fairmont St NW","W01061","Registered"
"415649","0h 6m 27s",2014-11-14 18:46:00,"Adams Mill & Columbia Rd NW",2014-11-14 18:53:00,"14th & V St NW","W01294","Registered"
"23062","0h 3m 19s",2014-10-03 07:02:00,"14th & V St NW",2014-10-03 07:06:00,"15th & P St NW","W20821","Registered"
"454521","0h 2m 33s",2014-11-21 16:28:00,"Ballenger Ave & Dulaney St",2014-11-21 16:31:00,"King St Metro","W00065","Registered"
"189570","0h 11m 59s",2014-10-20 13:07:00,"Independence Ave & L'Enfant Plaza SW/DOE",2014-10-20 13:19:00,"Eastern Market / 7th & North Carolina Ave SE","W20256","Registered"
"218824","0h 2m 6s",2014-10-24 08:24:00,"22nd & I St NW / Foggy Bottom",2014-10-24 08:26:00,"21st & M St NW","W20641","Registered"
"331807","0h 6m 20s",2014-11-05 05:37:00,"20th St & Florida Ave NW",2014-11-05 05:43:00,"New Hampshire Ave & 24th St NW","W20272","Registered"
"44857","0h 19m 42s",2014-10-05 06:46:00,"Lincoln Park / 13th & East Capitol St NE ",2014-10-05 07:05:00,"19th St & Pennsylvania Ave NW","W01415","Registered"
"135563","0h 8m 51s",2014-10-14 18:25:00,"15th & P St NW",2014-10-14 18:34:00,"7th & F St NW / National Portrait Gallery","W00566","Registered"
"628207","0h 18m 26s",2014-12-25 15:11:00,"1st & Rhode Island Ave NW",2014-12-25 15:30:00,"Adams Mill & Columbia Rd NW","W21399","Registered"
"383877","0h 6m 32s",2014-11-11 09:31:00,"8th & H St NW",2014-11-11 09:37:00,"3rd & H St NW","W20153","Registered"
"35496","0h 18m 18s",2014-10-04 11:07:00,"12th & L St NW",2014-10-04 11:26:00,"Eastern Market / 7th & North Carolina Ave SE","W21144","Registered"
"592127","0h 5m 7s",2014-12-17 05:17:00,"1st & M St NE",2014-12-17 05:23:00,"North Capitol St & F St NW","W21332","Registered"
"605924","0h 2m 46s",2014-12-19 02:04:00,"17th & Rhode Island Ave NW",2014-12-19 02:07:00,"Thomas Circle","W21588","Registered"
"274163","0h 25m 46s",2014-10-29 08:46:00,"6th & H St NE",2014-10-29 09:12:00,"24th & N St NW","W21031","Registered"
"571505","0h 8m 44s",2014-12-13 17:12:00,"10th & U St NW",2014-12-13 17:21:00,"11th & K St NW","W00049","Registered"
"493614","0h 6m 45s",2014-11-29 14:48:00,"Convention Center / 7th & M St NW",2014-11-29 14:55:00,"1st & Rhode Island Ave NW","W21649","Registered"
"572468","0h 2m 49s",2014-12-13 20:19:00,"3rd & Tingey St SE",2014-12-13 20:22:00,"1st & K St SE","W20048","Registered"
"638710","0h 6m 2s",2014-12-28 19:53:00,"1st & Rhode Island Ave NW",2014-12-28 19:59:00,"14th & Rhode Island Ave NW","W21459","Registered"
"633568","0h 28m 3s",2014-12-27 13:59:00,"Florida Ave & R St NW",2014-12-27 14:27:00,"39th & Calvert St NW / Stoddert","W01209","Casual"
"33459","0h 5m 29s",2014-10-03 23:24:00,"California St & Florida Ave NW",2014-10-03 23:30:00,"Massachusetts Ave & Dupont Circle NW","W01067","Registered"
"196866","0h 12m 11s",2014-10-21 08:10:00,"Columbia Rd & Georgia Ave NW",2014-10-21 08:23:00,"15th & K St NW","W20912","Registered"
"343776","0h 4m 11s",2014-11-06 12:58:00,"Thomas Circle",2014-11-06 13:02:00,"14th & R St NW","W20206","Registered"
"37741","0h 22m 17s",2014-10-04 13:35:00,"7th & F St NW / National Portrait Gallery",2014-10-04 13:57:00,"7th & R St NW / Shaw Library","W00621","Casual"
"384212","0h 3m 23s",2014-11-11 10:13:00,"17th St & Massachusetts Ave NW",2014-11-11 10:16:00,"17th & K St NW","W20940","Registered"
"231696","0h 8m 41s",2014-10-25 12:55:00,"New Hampshire Ave & T St NW",2014-10-25 13:04:00,"19th & L St NW","W00373","Registered"
"80897","0h 13m 58s",2014-10-08 17:01:00,"Pentagon City Metro / 12th & S Hayes St",2014-10-08 17:15:00,"S Glebe & Potomac Ave","W21197","Registered"
"525081","0h 11m 56s",2014-12-05 08:35:00,"1st & K St SE",2014-12-05 08:47:00,"Columbus Circle / Union Station","W20964","Registered"
"438158","0h 8m 33s",2014-11-19 08:04:00,"15th & Euclid St  NW",2014-11-19 08:13:00,"17th St & Massachusetts Ave NW","W00066","Registered"
"309600","0h 12m 39s",2014-11-02 12:56:00,"Jefferson Dr & 14th St SW",2014-11-02 13:09:00,"5th St & Massachusetts Ave NW","W00439","Registered"
"625452","0h 5m 13s",2014-12-23 18:42:00,"Columbus Circle / Union Station",2014-12-23 18:47:00,"11th & H St NE","W21718","Registered"
"549569","0h 15m 39s",2014-12-10 09:45:00,"Massachusetts Ave & Dupont Circle NW",2014-12-10 10:00:00,"3rd & H St NW","W00997","Registered"
"352888","0h 5m 34s",2014-11-07 14:36:00,"Thomas Circle",2014-11-07 14:41:00,"Massachusetts Ave & Dupont Circle NW","W00647","Registered"
"475546","0h 18m 10s",2014-11-24 18:35:00,"15th & P St NW",2014-11-24 18:53:00,"4th & M St SW","W21473","Registered"
"81670","0h 3m 34s",2014-10-08 17:35:00,"Columbus Circle / Union Station",2014-10-08 17:38:00,"8th & F St NE","W20556","Registered"
"199677","0h 2m 47s",2014-10-21 13:41:00,"17th & K St NW",2014-10-21 13:44:00,"17th St & Massachusetts Ave NW","W01220","Registered"
"67534","0h 4m 36s",2014-10-07 09:10:00,"17th & Corcoran St NW",2014-10-07 09:14:00,"Thomas Circle","W20147","Registered"
"484648","0h 3m 2s",2014-11-25 19:11:00,"21st & M St NW",2014-11-25 19:14:00,"22nd & I St NW / Foggy Bottom","W21241","Registered"
"167414","0h 5m 44s",2014-10-18 07:41:00,"M St & Pennsylvania Ave NW",2014-10-18 07:47:00,"37th & O St NW / Georgetown University","W20747","Registered"
"582383","0h 9m 20s",2014-12-15 15:38:00,"21st & I St NW",2014-12-15 15:47:00,"Massachusetts Ave & Dupont Circle NW","W21689","Registered"
"153097","0h 0m 24s",2014-10-16 19:39:00,"M St & Pennsylvania Ave NW",2014-10-16 19:40:00,"M St & Pennsylvania Ave NW","W20035","Registered"
"469508","0h 21m 32s",2014-11-24 08:14:00,"14th & V St NW",2014-11-24 08:35:00,"3000 Connecticut Ave NW / National Zoo","W21211","Registered"
"379053","0h 21m 45s",2014-11-10 17:34:00,"USDA / 12th & Independence Ave SW",2014-11-10 17:56:00,"Lincoln Park / 13th & East Capitol St NE ","W21242","Registered"
"284548","1h 54m 23s",2014-10-30 11:06:00,"15th & P St NW",2014-10-30 13:01:00,"Jefferson Dr & 14th St SW","W00432","Casual"
"36999","0h 3m 52s",2014-10-04 12:48:00,"5th & K St NW",2014-10-04 12:52:00,"7th & F St NW / National Portrait Gallery","W01145","Registered"
"227369","0h 12m 14s",2014-10-24 21:38:00,"8th & East Capitol St NE",2014-10-24 21:51:00,"5th St & Massachusetts Ave NW","W21052","Registered"
"444839","0h 25m 27s",2014-11-20 08:39:00,"Idaho Ave & Newark St NW [on 2nd District patio]",2014-11-20 09:05:00,"8th & H St NW","W00482","Registered"
"538473","0h 14m 56s",2014-12-08 07:31:00,"New Jersey Ave & R St NW",2014-12-08 07:46:00,"19th & E Street NW","W00266","Registered"
"160375","0h 43m 35s",2014-10-17 14:48:00,"Lincoln Memorial",2014-10-17 15:31:00,"Smithsonian / Jefferson Dr & 12th St SW","W20092","Casual"
"473450","0h 4m 22s",2014-11-24 16:35:00,"Braddock Rd Metro",2014-11-24 16:40:00,"Mount Vernon Ave & E Nelson Ave","W20764","Registered"
"419862","0h 20m 34s",2014-11-15 14:22:00,"14th St & Colorado Ave NW",2014-11-15 14:43:00,"7th & T St NW","W01436","Registered"
"418031","0h 6m 40s",2014-11-15 11:04:00,"Columbia Rd & Belmont St NW",2014-11-15 11:10:00,"14th & V St NW","W00522","Registered"
"470967","0h 26m 37s",2014-11-24 10:41:00,"Massachusetts Ave & Dupont Circle NW",2014-11-24 11:08:00,"8th & East Capitol St NE","W01426","Registered"
"20742","0h 14m 41s",2014-10-02 19:50:00,"10th & E St NW",2014-10-02 20:04:00,"14th & Rhode Island Ave NW","W20863","Casual"
"483863","0h 16m 24s",2014-11-25 18:01:00,"15th & Euclid St  NW",2014-11-25 18:17:00,"14th St & Colorado Ave NW","W21641","Registered"
"282933","0h 10m 31s",2014-10-30 08:19:00,"Columbia Rd & Georgia Ave NW",2014-10-30 08:29:00,"Calvert St & Woodley Pl NW","W00573","Registered"
"190298","0h 6m 21s",2014-10-20 14:53:00,"3rd & H St NE",2014-10-20 14:59:00,"Bladensburg Rd & Benning Rd NE","W00957","Registered"
"574485","0h 26m 20s",2014-12-14 12:15:00,"19th St & Constitution Ave NW",2014-12-14 12:42:00,"Lincoln Memorial","W00411","Casual"
"511400","0h 14m 54s",2014-12-03 09:30:00,"Constitution Ave & 2nd St NW/DOL",2014-12-03 09:45:00,"19th St & Constitution Ave NW","W00590","Registered"
"105446","0h 11m 6s",2014-10-11 01:11:00,"10th & U St NW",2014-10-11 01:22:00,"1st & M St NE","W00922","Registered"
"629307","0h 15m 29s",2014-12-26 10:31:00,"M St & Pennsylvania Ave NW",2014-12-26 10:46:00,"8th & H St NW","W21773","Registered"
"450631","0h 6m 4s",2014-11-20 23:06:00,"14th & Harvard St NW",2014-11-20 23:12:00,"14th & R St NW","W20542","Registered"
"401804","0h 4m 18s",2014-11-12 20:30:00,"Washington Blvd & 10th St N",2014-11-12 20:34:00,"Arlington Blvd & Fillmore St","W00983","Registered"
"613225","0h 2m 52s",2014-12-20 12:55:00,"14th & Harvard St NW",2014-12-20 12:58:00,"14th & Belmont St NW","W21353","Registered"
"369444","0h 18m 35s",2014-11-09 15:19:00,"Maryland & Independence Ave SW",2014-11-09 15:37:00,"25th St & Pennsylvania Ave NW","W21648","Registered"
"85190","0h 9m 37s",2014-10-08 21:40:00,"14th & Harvard St NW",2014-10-08 21:49:00,"Massachusetts Ave & Dupont Circle NW","W00517","Registered"
"349237","0h 4m 12s",2014-11-07 07:50:00,"8th & F St NE",2014-11-07 07:54:00,"Columbus Circle / Union Station","W00371","Registered"
"195770","0h 7m 5s",2014-10-21 06:38:00,"11th & M St NW",2014-10-21 06:45:00,"19th & L St NW","W21559","Registered"
"383532","0h 11m 13s",2014-11-11 08:58:00,"5th St & Massachusetts Ave NW",2014-11-11 09:09:00,"21st & I St NW","W00601","Registered"
"240278","2h 2m 18s",2014-10-26 09:01:00,"Georgetown Harbor / 30th St NW",2014-10-26 11:03:00,"Lynn & 19th St North","W20040","Casual"
"7999","0h 5m 3s",2014-10-01 18:40:00,"18th St & Wyoming Ave NW",2014-10-01 18:45:00,"Massachusetts Ave & Dupont Circle NW","W20503","Registered"
"588845","0h 12m 6s",2014-12-16 10:40:00,"20th & L St NW",2014-12-16 10:52:00,"Metro Center / 12th & G St NW","W20026","Registered"
"192677","0h 18m 33s",2014-10-20 17:57:00,"17th & K St NW",2014-10-20 18:16:00,"Constitution Ave & 2nd St NW/DOL","W00352","Registered"
"377720","0h 11m 43s",2014-11-10 16:04:00,"Jefferson Memorial",2014-11-10 16:16:00,"Jefferson Memorial","W20148","Casual"
"428970","0h 0m 29s",2014-11-17 15:17:00,"13th St & New York Ave NW",2014-11-17 15:18:00,"13th St & New York Ave NW","W00729","Registered"
"17339","0h 5m 48s",2014-10-02 17:03:00,"Ward Circle / American University",2014-10-02 17:09:00,"Tenleytown / Wisconsin Ave & Albemarle St NW","W21122","Registered"
"221822","0h 5m 15s",2014-10-24 13:44:00,"17th & K St NW",2014-10-24 13:49:00,"Massachusetts Ave & Dupont Circle NW","W00901","Registered"
"68299","0h 4m 3s",2014-10-07 11:25:00,"14th & R St NW",2014-10-07 11:29:00,"14th & V St NW","W21585","Casual"
"298936","0h 18m 26s",2014-10-31 17:48:00,"34th & Water St NW",2014-10-31 18:06:00,"Idaho Ave & Newark St NW [on 2nd District patio]","W21435","Registered"
"34964","0h 22m 53s",2014-10-04 10:24:00,"Massachusetts Ave & Dupont Circle NW",2014-10-04 10:47:00,"North Capitol St & F St NW","W20623","Casual"
"569914","1h 38m 3s",2014-12-13 13:58:00,"Maryland & Independence Ave SW",2014-12-13 15:36:00,"Maryland & Independence Ave SW","W20505","Casual"
"351511","0h 12m 13s",2014-11-07 11:22:00,"18th St & Pennsylvania Ave NW",2014-11-07 11:34:00,"7th & R St NW / Shaw Library","W21399","Registered"
"196086","0h 21m 13s",2014-10-21 07:19:00,"21st & M St NW",2014-10-21 07:40:00,"North Capitol St & G Pl NE","W21386","Casual"
"332148","0h 4m 14s",2014-11-05 06:54:00,"1st & M St NE",2014-11-05 06:58:00,"3rd & H St NE","W00254","Registered"
"168380","0h 7m 41s",2014-10-18 10:15:00,"Pentagon City Metro / 12th & S Hayes St",2014-10-18 10:22:00,"15th & Crystal Dr","W00470","Casual"
"471101","1h 15m 41s",2014-11-24 11:08:00,"25th St & Pennsylvania Ave NW",2014-11-24 12:24:00,"Jefferson Memorial","W00599","Casual"
"264859","0h 14m 44s",2014-10-28 13:39:00,"Lincoln Memorial",2014-10-28 13:54:00,"Smithsonian / Jefferson Dr & 12th St SW","W00777","Casual"
"545971","0h 11m 39s",2014-12-09 18:10:00,"13th St & New York Ave NW",2014-12-09 18:22:00,"25th St & Pennsylvania Ave NW","W21403","Registered"
"112647","0h 13m 37s",2014-10-12 10:43:00,"12th & U St NW",2014-10-12 10:56:00,"M St & Pennsylvania Ave NW","W21390","Registered"
"394691","0h 8m 5s",2014-11-12 08:19:00,"13th & D St NE",2014-11-12 08:27:00,"Columbus Circle / Union Station","W00750","Registered"
"35963","0h 7m 48s",2014-10-04 11:42:00,"5th St & Massachusetts Ave NW",2014-10-04 11:50:00,"3rd & H St NE","W20570","Registered"
"21055","0h 14m 15s",2014-10-02 20:14:00,"14th & Harvard St NW",2014-10-02 20:28:00,"20th & O St NW / Dupont South","W20408","Registered"
"505170","0h 4m 50s",2014-12-01 16:45:00,"26th & S Clark St",2014-12-01 16:49:00,"Crystal City Metro / 18th & Bell St","W00621","Registered"
"236452","0h 33m 30s",2014-10-25 17:33:00,"Smithsonian / Jefferson Dr & 12th St SW",2014-10-25 18:06:00,"22nd & I St NW / Foggy Bottom","W20759","Registered"
"302602","0h 13m 16s",2014-11-01 10:42:00,"Florida Ave & R St NW",2014-11-01 10:55:00,"4th & E St SW","W01301","Registered"
"4776","0h 3m 31s",2014-10-01 15:49:00,"9th & Upshur St NW",2014-10-01 15:53:00,"Georgia & New Hampshire Ave NW","W01227","Registered"
"491954","0h 7m 23s",2014-11-29 07:41:00,"16th & Harvard St NW",2014-11-29 07:48:00,"17th & K St NW / Farragut Square","W20378","Registered"
"339721","0h 4m 50s",2014-11-05 19:12:00,"Park Rd & Holmead Pl NW",2014-11-05 19:17:00,"15th & Euclid St  NW","W00384","Registered"
"640604","0h 25m 28s",2014-12-29 11:31:00,"New Hampshire Ave & T St NW",2014-12-29 11:56:00,"Georgetown Harbor / 30th St NW","W20195","Casual"
"497313","0h 19m 14s",2014-11-30 13:31:00,"4th & M St SW",2014-11-30 13:50:00,"Constitution Ave & 2nd St NW/DOL","W00096","Registered"
"374152","0h 6m 12s",2014-11-10 08:24:00,"17th St & Massachusetts Ave NW",2014-11-10 08:30:00,"19th St & Pennsylvania Ave NW","W21568","Registered"
"637019","1h 48m 23s",2014-12-28 11:59:00,"19th & E Street NW",2014-12-28 13:48:00,"20th & E St NW","W21427","Casual"
"61313","1h 27m 7s",2014-10-06 17:44:00,"Jefferson Dr & 14th St SW",2014-10-06 19:11:00,"Thomas Circle","W21427","Casual"
"632254","0h 9m 41s",2014-12-27 10:17:00,"Arlington Blvd & Fillmore St",2014-12-27 10:26:00,"Fairfax Dr & Wilson Blvd","W20124","Registered"
"609103","0h 20m 1s",2014-12-19 15:09:00,"Columbus Circle / Union Station",2014-12-19 15:29:00,"Anacostia Ave & Benning Rd NE / River Terrace ","W21564","Registered"
"442930","0h 3m 29s",2014-11-19 20:55:00,"14th & Rhode Island Ave NW",2014-11-19 20:58:00,"17th & Rhode Island Ave NW","W20371","Registered"
"581618","0h 13m 26s",2014-12-15 13:16:00,"39th & Calvert St NW / Stoddert",2014-12-15 13:29:00,"Massachusetts Ave & Dupont Circle NW","W00694","Registered"
"342934","0h 6m 26s",2014-11-06 10:32:00,"14th & V St NW",2014-11-06 10:39:00,"10th & U St NW","W00477","Registered"
"434958","0h 19m 0s",2014-11-18 16:09:00,"Rosslyn Metro / Wilson Blvd & Ft Myer Dr",2014-11-18 16:28:00,"Fairfax Dr & Kenmore St","W20389","Registered"
"161967","0h 3m 52s",2014-10-17 16:51:00,"10th & E St NW",2014-10-17 16:55:00,"13th St & New York Ave NW","W20456","Registered"
"118961","0h 8m 31s",2014-10-12 18:14:00,"5th & K St NW",2014-10-12 18:23:00,"15th & P St NW","W21526","Registered"
"333457","0h 9m 38s",2014-11-05 08:22:00,"10th & U St NW",2014-11-05 08:31:00,"17th & Rhode Island Ave NW","W20685","Registered"
"275738","0h 2m 2s",2014-10-29 12:11:00,"3rd & H St NW",2014-10-29 12:13:00,"4th & D St NW / Judiciary Square","W01013","Registered"
"374305","0h 10m 20s",2014-11-10 08:32:00,"North Capitol St & F St NW",2014-11-10 08:43:00,"13th & D St NE","W20818","Registered"
"198099","0h 24m 45s",2014-10-21 09:21:00,"4th & M St SW",2014-10-21 09:46:00,"New Hampshire Ave & 24th St NW","W20725","Registered"
"31896","0h 16m 24s",2014-10-03 18:58:00,"37th & O St NW / Georgetown University",2014-10-03 19:14:00,"Calvert & Biltmore St NW","W20794","Registered"
"352797","0h 10m 33s",2014-11-07 14:22:00,"14th & V St NW",2014-11-07 14:32:00,"8th & H St NW","W21189","Registered"
"294281","0h 4m 1s",2014-10-31 10:10:00,"12th & L St NW",2014-10-31 10:14:00,"8th & H St NW","W00535","Registered"
"623448","0h 9m 54s",2014-12-23 10:56:00,"Thomas Circle",2014-12-23 11:06:00,"1st & M St NE","W01206","Registered"
"169663","0h 8m 0s",2014-10-18 11:49:00,"Adams Mill & Columbia Rd NW",2014-10-18 11:57:00,"17th & Corcoran St NW","W20389","Registered"
"88238","0h 2m 39s",2014-10-09 09:01:00,"Fairfax Dr & Kenmore St",2014-10-09 09:04:00,"Virginia Square Metro / N Monroe St & 9th St N","W00120","Registered"
"337689","0h 15m 59s",2014-11-05 17:07:00,"Jefferson Dr & 14th St SW",2014-11-05 17:23:00,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00487","Registered"
"6346","0h 6m 47s",2014-10-01 17:31:00,"Takoma Metro",2014-10-01 17:38:00,"Carroll & Ethan Allen Ave","W20653","Registered"
"26855","0h 4m 41s",2014-10-03 12:36:00,"Massachusetts Ave & Dupont Circle NW",2014-10-03 12:40:00,"Thomas Circle","W21570","Casual"
"263778","0h 17m 39s",2014-10-28 11:30:00,"25th St & Pennsylvania Ave NW",2014-10-28 11:47:00,"34th & Water St NW","W20724","Casual"
"469245","0h 5m 48s",2014-11-24 07:58:00,"16th & Harvard St NW",2014-11-24 08:04:00,"Calvert St & Woodley Pl NW","W01222","Registered"
"208371","0h 5m 26s",2014-10-23 07:50:00,"11th & H St NE",2014-10-23 07:55:00,"Columbus Circle / Union Station","W21580","Registered"
"92263","0h 9m 45s",2014-10-09 16:56:00,"Market Square / King St & Royal St",2014-10-09 17:06:00,"King St Metro","W20219","Registered"
"231049","0h 18m 25s",2014-10-25 12:17:00,"L'Enfant Plaza / 7th & C St SW",2014-10-25 12:36:00,"Jefferson Memorial","W01061","Casual"
"443120","0h 7m 13s",2014-11-19 21:42:00,"11th & M St NW",2014-11-19 21:49:00,"19th & L St NW","W21130","Casual"
"601901","0h 25m 42s",2014-12-18 11:24:00,"21st St & Constitution Ave NW",2014-12-18 11:50:00,"19th St & Constitution Ave NW","W20963","Casual"
"70938","0h 24m 3s",2014-10-07 17:13:00,"Georgetown Harbor / 30th St NW",2014-10-07 17:37:00,"Calvert St & Woodley Pl NW","W01326","Casual"
"254175","1h 45m 42s",2014-10-27 14:24:00,"21st St & Constitution Ave NW",2014-10-27 16:10:00,"Jefferson Memorial","W21479","Casual"
"65743","0h 4m 45s",2014-10-07 07:37:00,"Crystal City Metro / 18th & Bell St",2014-10-07 07:42:00,"26th & S Clark St","W20188","Registered"
"422441","0h 8m 3s",2014-11-15 21:06:00,"Wilson Blvd & Franklin Rd",2014-11-15 21:14:00,"N Adams St & Lee Hwy","W00512","Registered"
"144778","0h 8m 19s",2014-10-16 06:24:00,"14th & Harvard St NW",2014-10-16 06:33:00,"17th & K St NW","W01084","Registered"
"148553","0h 4m 26s",2014-10-16 13:40:00,"15th & Crystal Dr",2014-10-16 13:44:00,"26th & S Clark St","W20739","Registered"
"571250","0h 23m 5s",2014-12-13 16:32:00,"Hains Point/Buckeye & Ohio Dr SW",2014-12-13 16:56:00,"Convention Center / 7th & M St NW","W00010","Registered"
"12118","0h 10m 46s",2014-10-02 08:07:00,"4th & M St SW",2014-10-02 08:17:00,"10th St & Constitution Ave NW","W00058","Registered"
"80236","0h 6m 13s",2014-10-08 16:14:00,"4th & E St SW",2014-10-08 16:20:00,"4th & M St SW","W00279","Registered"
"277695","0h 12m 12s",2014-10-29 17:16:00,"1st & M St NE",2014-10-29 17:28:00,"11th & M St NW","W20326","Registered"
"206416","0h 24m 1s",2014-10-22 19:44:00,"18th St & Pennsylvania Ave NW",2014-10-22 20:08:00,"19th & East Capitol St SE","W20463","Registered"
"559723","0h 2m 20s",2014-12-11 19:55:00,"Convention Center / 7th & M St NW",2014-12-11 19:57:00,"11th & M St NW","W20667","Registered"
"73867","0h 5m 25s",2014-10-07 20:36:00,"17th St & Massachusetts Ave NW",2014-10-07 20:41:00,"14th & R St NW","W00709","Registered"
"85325","0h 22m 14s",2014-10-08 22:04:00,"Lincoln Memorial",2014-10-08 22:27:00,"Convention Center / 7th & M St NW","W20900","Registered"
"525889","0h 6m 11s",2014-12-05 10:00:00,"25th St & Pennsylvania Ave NW",2014-12-05 10:06:00,"18th & M St NW","W21583","Registered"
"249172","0h 7m 24s",2014-10-26 21:14:00,"Washington & Independence Ave SW/HHS",2014-10-26 21:21:00,"5th & F St NW","W20308","Registered"
"8431","0h 23m 4s",2014-10-01 19:04:00,"4th & E St SW",2014-10-01 19:27:00,"Iwo Jima Memorial/N Meade & 14th St N","W20622","Registered"
"332617","0h 15m 55s",2014-11-05 07:35:00,"Columbus Circle / Union Station",2014-11-05 07:51:00,"17th & K St NW","W01124","Registered"
"426665","0h 2m 20s",2014-11-16 16:37:00,"15th & Euclid St  NW",2014-11-16 16:39:00,"14th & Harvard St NW","W21537","Registered"
"421255","0h 12m 18s",2014-11-15 16:51:00,"New Jersey Ave & R St NW",2014-11-15 17:03:00,"Massachusetts Ave & Dupont Circle NW","W00753","Registered"
"370650","0h 9m 31s",2014-11-09 16:54:00,"10th & Florida Ave NW",2014-11-09 17:03:00,"Massachusetts Ave & Dupont Circle NW","W01218","Registered"
"117376","0h 6m 32s",2014-10-12 16:07:00,"8th & H St NW",2014-10-12 16:14:00,"8th & D St NW","W00611","Registered"
"586701","0h 9m 52s",2014-12-16 07:36:00,"14th & D St SE",2014-12-16 07:46:00,"Columbus Circle / Union Station","W20872","Registered"
"605571","0h 12m 0s",2014-12-18 21:34:00,"Massachusetts Ave & Dupont Circle NW",2014-12-18 21:46:00,"3rd & Elm St NW","W00968","Registered"
"186504","0h 11m 2s",2014-10-20 07:27:00,"California St & Florida Ave NW",2014-10-20 07:38:00,"13th St & New York Ave NW","W20038","Registered"
"124998","0h 8m 50s",2014-10-13 17:47:00,"23rd & Crystal Dr",2014-10-13 17:56:00,"Pentagon City Metro / 12th & S Hayes St","W01043","Registered"
"486506","0h 7m 30s",2014-11-26 15:16:00,"Massachusetts Ave & Dupont Circle NW",2014-11-26 15:23:00,"14th & Belmont St NW","W21678","Registered"
"274307","0h 4m 7s",2014-10-29 08:54:00,"15th St & Massachusetts Ave SE",2014-10-29 08:58:00,"Potomac & Pennsylvania Ave SE","W00058","Registered"
"493439","0h 4m 14s",2014-11-29 14:19:00,"Columbia Rd & Belmont St NW",2014-11-29 14:23:00,"18th & R St NW","W01412","Registered"
"468450","0h 7m 27s",2014-11-24 05:49:00,"15th St & Massachusetts Ave SE",2014-11-24 05:56:00,"3rd & G St SE","W20167","Registered"
"381871","0h 6m 43s",2014-11-10 22:38:00,"N Quincy St & Wilson Blvd",2014-11-10 22:45:00,"Pershing & N George Mason Dr","W20345","Registered"
"315052","0h 5m 52s",2014-11-03 08:49:00,"24th & N St NW",2014-11-03 08:55:00,"20th & O St NW / Dupont South","W21595","Registered"
"224834","0h 27m 33s",2014-10-24 17:41:00,"Eastern Market Metro / Pennsylvania Ave & 7th St SE",2014-10-24 18:08:00,"18th St & Pennsylvania Ave NW","W00022","Registered"
"348442","0h 8m 35s",2014-11-07 05:45:00,"20th St & Florida Ave NW",2014-11-07 05:54:00,"New Hampshire Ave & 24th St NW","W21048","Registered"
"75721","0h 5m 30s",2014-10-08 07:55:00,"Massachusetts Ave & Dupont Circle NW",2014-10-08 08:00:00,"21st & I St NW","W20020","Registered"
"398633","0h 4m 10s",2014-11-12 16:37:00,"11th & K St NW",2014-11-12 16:41:00,"8th & F St NW / National Portrait Gallery","W00268","Registered"
"401028","0h 16m 10s",2014-11-12 19:04:00,"Tenleytown / Wisconsin Ave & Albemarle St NW",2014-11-12 19:20:00,"Massachusetts Ave & Dupont Circle NW","W21312","Registered"
"394914","0h 9m 23s",2014-11-12 08:28:00,"Calvert St & Woodley Pl NW",2014-11-12 08:37:00,"17th St & Massachusetts Ave NW","W00371","Registered"
"83556","0h 10m 33s",2014-10-08 19:00:00,"Massachusetts Ave & Dupont Circle NW",2014-10-08 19:11:00,"7th & R St NW / Shaw Library","W00995","Registered"
"404465","0h 21m 41s",2014-11-13 08:42:00,"North Capitol St & F St NW",2014-11-13 09:04:00,"California St & Florida Ave NW","W21091","Registered"
"95205","0h 12m 29s",2014-10-09 19:17:00,"Georgia & New Hampshire Ave NW",2014-10-09 19:30:00,"14th & R St NW","W00180","Registered"
"509888","0h 7m 13s",2014-12-03 07:08:00,"20th & E St NW",2014-12-03 07:15:00,"14th St & New York Ave NW","W21213","Registered"
"163285","0h 7m 29s",2014-10-17 17:47:00,"N Quincy St & Glebe Rd",2014-10-17 17:54:00,"N Pershing Dr & Wayne St","W21518","Registered"
"368594","0h 5m 4s",2014-11-09 14:14:00,"15th & K St NW",2014-11-09 14:19:00,"11th & M St NW","W00616","Registered"
